Running in TSCNN mode
Writing logs to logs/CNN_bn_bs=32_lr=0.001_momentum=0.9_run_61
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
model: mc, epoch: [0], step: [239/1581], batch loss: 1.94680, batch accuracy: 18.75, data load time: 0.00031, step time: 0.02037
model: lmc, epoch: [0], step: [249/1581], batch loss: 2.04030, batch accuracy: 15.62, data load time: 0.00029, step time: 0.01810
model: mc, epoch: [0], step: [249/1581], batch loss: 2.16883, batch accuracy: 9.38, data load time: 0.00029, step time: 0.01810
model: lmc, epoch: [0], step: [259/1581], batch loss: 1.99389, batch accuracy: 15.62, data load time: 0.00034, step time: 0.01955
model: mc, epoch: [0], step: [259/1581], batch loss: 2.15421, batch accuracy: 9.38, data load time: 0.00034, step time: 0.01955
model: lmc, epoch: [0], step: [269/1581], batch loss: 2.13339, batch accuracy: 9.38, data load time: 0.00030, step time: 0.01817
model: mc, epoch: [0], step: [269/1581], batch loss: 2.21430, batch accuracy: 6.25, data load time: 0.00030, step time: 0.01817
model: lmc, epoch: [0], step: [279/1581], batch loss: 1.93478, batch accuracy: 21.88, data load time: 0.00032, step time: 0.01843
model: mc, epoch: [0], step: [279/1581], batch loss: 2.25388, batch accuracy: 6.25, data load time: 0.00032, step time: 0.01843
model: lmc, epoch: [0], step: [289/1581], batch loss: 1.99889, batch accuracy: 18.75, data load time: 0.00042, step time: 0.01848
model: mc, epoch: [0], step: [289/1581], batch loss: 2.25476, batch accuracy: 6.25, data load time: 0.00042, step time: 0.01848
model: lmc, epoch: [0], step: [299/1581], batch loss: 2.14153, batch accuracy: 9.38, data load time: 0.00463, step time: 0.01949
model: mc, epoch: [0], step: [299/1581], batch loss: 2.23264, batch accuracy: 6.25, data load time: 0.00463, step time: 0.01949
